Wall time,Step,Value
1733331421.5029263,1000000,375.29998779296875
1733331536.5574877,2000000,240.75
1733331657.3823705,3000000,329.20001220703125
1733331781.6176355,4000000,267.8500061035156
1733331907.6816862,5000000,190.4499969482422
1733332036.3410425,6000000,100.25
1733332170.5949156,7000000,286.54998779296875
1733332304.462798,8000000,158.0
1733332440.05609,9000000,141.3000030517578
1733332579.1802952,10000000,253.3000030517578
1733332721.7519228,11000000,329.25
1733332864.3177664,12000000,238.5
1733333007.3722503,13000000,123.55000305175781
1733333153.685086,14000000,187.10000610351562
1733333302.5252986,15000000,151.9499969482422
1733333452.103568,16000000,155.0
1733333604.46772,17000000,166.14999389648438
1733333756.9108076,18000000,153.0500030517578
1733333911.9290345,19000000,181.8000030517578
1733334067.5896523,20000000,157.9499969482422
1733334224.200822,21000000,158.75
1733334382.189776,22000000,177.3000030517578
1733334543.7322335,23000000,239.60000610351562
1733334706.2529008,24000000,190.9499969482422
1733334870.6117716,25000000,176.5
1733335036.2187111,26000000,205.35000610351562
1733335203.0605924,27000000,220.89999389648438
1733335372.9155507,28000000,248.5500030517578
1733335543.6525671,29000000,193.9499969482422
1733335715.660279,30000000,195.89999389648438
1733335888.8122256,31000000,212.60000610351562
1733336062.8992884,32000000,203.39999389648438
1733336238.893102,33000000,228.0500030517578
1733336416.10347,34000000,237.6999969482422
1733336593.9095368,35000000,232.39999389648438
1733336774.0191495,36000000,247.5
1733336955.1953452,37000000,221.64999389648438
1733337139.4048364,38000000,296.8999938964844
1733337323.5938084,39000000,271.1000061035156
1733337509.2187178,40000000,259.04998779296875
1733337693.7668083,41000000,264.04998779296875
1733337878.968102,42000000,256.20001220703125
1733338065.260507,43000000,318.6000061035156
1733338253.0485802,44000000,303.95001220703125
1733338442.5851467,45000000,259.0
1733338633.388841,46000000,329.70001220703125
1733338825.1115727,47000000,284.6499938964844
1733339016.210304,48000000,264.04998779296875
1733339206.3563993,49000000,293.5
1733339398.5025105,50000000,260.8999938964844
1733339593.0127854,51000000,331.79998779296875
1733339788.9142897,52000000,304.45001220703125
1733339987.4574742,53000000,300.1000061035156
1733340189.1226768,54000000,305.25
1733340390.963609,55000000,321.79998779296875
1733340589.4502418,56000000,316.04998779296875
1733340792.8671865,57000000,356.8500061035156
1733340998.0797694,58000000,393.6000061035156
1733341206.3445127,59000000,333.5
1733341421.6939995,60000000,417.6499938964844
1733341638.924401,61000000,392.25
1733341850.7356184,62000000,362.79998779296875
1733342059.092498,63000000,431.5
1733342266.5788927,64000000,387.6000061035156
1733342474.2387655,65000000,371.75
1733342681.762486,66000000,487.20001220703125
1733342888.4268184,67000000,383.75
1733343097.2730627,68000000,414.6499938964844
1733343303.8474884,69000000,392.95001220703125
1733343510.1510246,70000000,377.6000061035156
1733343716.6389086,71000000,400.20001220703125
1733343924.8385203,72000000,462.5
1733344133.3716378,73000000,380.8500061035156
1733344343.2047365,74000000,475.3500061035156
1733344552.5488405,75000000,463.6499938964844
1733344762.138128,76000000,406.25
1733344970.9657848,77000000,418.25
1733345181.9550428,78000000,420.1499938964844
1733345396.79937,79000000,488.25
1733345608.8769054,80000000,429.1000061035156
