Wall time,Step,Value
1733331421.5029836,1000000,3.3804500102996826
1733331536.5575407,2000000,4.265749931335449
1733331657.3824124,3000000,4.978099822998047
1733331781.6176765,4000000,4.038449764251709
1733331907.6817272,5000000,5.216949939727783
1733332036.3410852,6000000,6.758600234985352
1733332170.5949628,7000000,6.422150135040283
1733332304.4628448,8000000,7.001150131225586
1733332440.0561316,9000000,5.766600131988525
1733332579.1803355,10000000,6.054999828338623
1733332721.7519665,11000000,5.328400135040283
1733332864.317809,12000000,5.469200134277344
1733333007.3722892,13000000,7.736299991607666
1733333153.6851254,14000000,8.073149681091309
1733333302.525341,15000000,8.809000015258789
1733333452.1036098,16000000,9.406550407409668
1733333604.4677744,17000000,10.346349716186523
1733333756.9108465,18000000,10.459549903869629
1733333911.9290774,19000000,8.779150009155273
1733334067.5896947,20000000,10.905099868774414
1733334224.200861,21000000,10.804200172424316
1733334382.1898162,22000000,12.237099647521973
1733334543.7322762,23000000,11.624250411987305
1733334706.2529407,24000000,13.074299812316895
1733334870.6118195,25000000,12.638299942016602
1733335036.2187722,26000000,14.961799621582031
1733335203.060632,27000000,15.246549606323242
1733335372.9155927,28000000,18.37204933166504
1733335543.6526082,29000000,14.17240047454834
1733335715.6603231,30000000,15.421699523925781
1733335888.8122692,31000000,16.95655059814453
1733336062.8993347,32000000,15.564350128173828
1733336238.8931413,33000000,17.34149932861328
1733336416.103511,34000000,18.18269920349121
1733336593.9095764,35000000,19.73954963684082
1733336774.0191975,36000000,19.724449157714844
1733336955.1953857,37000000,18.098649978637695
1733337139.404876,38000000,22.327699661254883
1733337323.59385,39000000,21.953100204467773
1733337509.2187712,40000000,21.56475067138672
1733337693.7668438,41000000,21.559749603271484
1733337878.968142,42000000,20.766799926757812
1733338065.2605448,43000000,25.65934944152832
1733338253.0486195,44000000,24.322650909423828
1733338442.5851882,45000000,21.714950561523438
1733338633.3888826,46000000,26.449050903320312
1733338825.1116135,47000000,22.490100860595703
1733339016.2103424,48000000,21.40959930419922
1733339206.35644,49000000,23.081850051879883
1733339398.5025473,50000000,21.26259994506836
1733339593.0128226,51000000,26.34684944152832
1733339788.9143267,52000000,25.373199462890625
1733339987.457517,53000000,25.327499389648438
1733340189.1227157,54000000,24.771799087524414
1733340390.9636443,55000000,25.05554962158203
1733340589.4502804,56000000,25.91214942932129
1733340792.8672247,57000000,28.82430076599121
1733340998.0798082,58000000,29.438199996948242
1733341206.3445578,59000000,26.74555015563965
1733341421.6940436,60000000,31.916650772094727
1733341638.9244406,61000000,30.891000747680664
1733341850.735657,62000000,28.468000411987305
1733342059.0925422,63000000,33.154048919677734
1733342266.5789301,64000000,30.34510040283203
1733342474.2388039,65000000,29.96055030822754
1733342681.7625234,66000000,32.64789962768555
1733342888.4268563,67000000,29.898500442504883
1733343097.273106,68000000,31.41914939880371
1733343303.847526,69000000,30.940349578857422
1733343510.1510692,70000000,31.155899047851562
1733343716.6389472,71000000,31.783950805664062
1733343924.8385587,72000000,34.92485046386719
1733344133.371676,73000000,30.401899337768555
1733344343.2047875,74000000,36.71379852294922
1733344552.5488846,75000000,35.073848724365234
1733344762.1381698,76000000,31.928049087524414
1733344970.9658234,77000000,32.51665115356445
1733345181.95508,78000000,32.51475143432617
1733345396.7994084,79000000,36.600799560546875
1733345608.8769438,80000000,34.20750045776367
